Date,Open,High,Low,Close,Adj Close,Volume
2022-01-14,568.900024,568.900024,553.000000,557.000000,549.108398,2063358
2022-01-17,557.000000,562.950012,545.599976,549.549988,541.763916,3256402
2022-01-18,550.000000,553.599976,531.000000,534.700012,527.124329,2514178
2022-01-19,532.000000,532.000000,502.600006,512.900024,505.633240,5539545
2022-01-20,514.000000,515.500000,497.000000,502.100006,494.986237,3023445
2022-01-21,497.000000,505.549988,482.100006,487.250000,480.346588,2753113
2022-01-24,478.549988,483.000000,441.850006,450.500000,444.117310,6146783
2022-01-25,443.000000,467.799988,431.000000,461.100006,454.567108,4044257
2022-01-27,461.000000,462.000000,431.000000,437.899994,431.695801,4719874
2022-01-28,453.149994,462.000000,443.100006,445.100006,438.793823,5734166
2022-01-31,457.299988,482.000000,451.350006,475.600006,468.861694,6051319
2022-02-01,482.299988,484.899994,463.549988,472.000000,465.312683,4056465
2022-02-02,475.049988,479.899994,472.049988,476.750000,469.995392,1491646
2022-02-03,478.850006,486.899994,473.000000,475.200012,468.467346,2113638
2022-02-04,468.600006,478.000000,461.200012,467.399994,460.777863,1861340
2022-02-07,469.600006,473.000000,449.000000,452.750000,446.335388,1295173
2022-02-08,453.000000,457.200012,440.450012,442.549988,436.279907,1517358
2022-02-09,446.000000,464.000000,445.549988,455.750000,449.292908,2815110
2022-02-10,458.049988,465.899994,456.000000,463.049988,456.489471,2075464
2022-02-11,458.950012,459.000000,449.500000,453.000000,446.581879,2074346
2022-02-14,430.000000,444.000000,418.549988,422.549988,416.563293,1956388
2022-02-15,434.399994,453.299988,424.950012,447.149994,440.814758,3614022
2022-02-16,457.000000,459.000000,440.299988,444.200012,437.906555,2353074
2022-02-17,448.000000,449.700012,435.600006,439.850006,433.618164,1440200
2022-02-18,435.899994,438.799988,422.649994,426.700012,420.654510,1532920
2022-02-21,424.950012,424.950012,407.600006,412.899994,407.049988,2951140
2022-02-22,395.100006,419.549988,392.600006,416.700012,410.796173,3623024
2022-02-23,421.500000,425.049988,413.500000,414.799988,408.923065,1928531
2022-02-24,395.000000,400.000000,380.000000,382.200012,376.784973,3598722
2022-02-25,399.000000,411.000000,397.200012,403.549988,397.832489,3130605
2022-02-28,397.100006,409.549988,390.450012,407.649994,401.874390,2654325
2022-03-02,402.450012,425.000000,402.450012,421.149994,415.183105,3465837
2022-03-03,430.100006,437.000000,425.100006,429.850006,423.759857,3486602
2022-03-04,424.100006,445.500000,416.450012,437.950012,431.745117,4290597
2022-03-07,430.000000,443.200012,424.649994,431.100006,424.992157,3154297
2022-03-08,431.149994,454.000000,430.850006,451.200012,444.807404,3155855
2022-03-09,457.000000,460.500000,452.299988,456.149994,449.687225,2402749
2022-03-10,470.000000,470.000000,445.200012,450.000000,443.624359,2765700
2022-03-11,448.600006,457.850006,444.100006,453.250000,446.828339,1698204
2022-03-14,450.500000,458.850006,450.500000,452.250000,445.842499,1536087
2022-03-15,452.250000,454.899994,433.200012,436.899994,430.709991,1272469
2022-03-16,446.799988,450.000000,440.000000,442.500000,436.230621,1319047
2022-03-17,451.000000,453.500000,440.299988,443.950012,437.660095,2495071
2022-03-21,448.950012,453.000000,441.500000,443.750000,437.462921,1287493
2022-03-22,443.799988,468.850006,443.350006,465.899994,459.299103,6214056
2022-03-23,470.600006,474.950012,461.649994,467.549988,460.925690,3919329
2022-03-24,468.000000,482.950012,465.049988,480.100006,473.297913,4084827
2022-03-25,483.850006,486.000000,463.000000,465.899994,459.299103,2647923
2022-03-28,466.899994,468.250000,452.750000,454.000000,447.567688,1741295
2022-03-29,457.000000,464.750000,451.700012,456.049988,449.588623,1993390
2022-03-30,461.399994,464.000000,449.450012,454.200012,447.764862,2023598
2022-03-31,456.399994,459.899994,450.200012,454.950012,448.504242,1173562
2022-04-01,455.000000,468.799988,451.500000,466.600006,459.989197,2251442
2022-04-04,471.000000,477.500000,467.000000,471.850006,465.164795,1657647
